CAZy_Family	P.1	P.2	P.3	P.JF.C.1	P.JF.C.2	P.JF.C.3	P.SC.1	P.SC.2	P.SC.3	P.JF.1	P.JF.2	P.JF.3	Control.1	Control.2	Control.3
GH101	17.71324282	22.27596936	20.98106956	45.09849144	43.76939396	33.31862824	3.133815097	52.6106753	82.52428444	59.92643247	122.2374959	53.08494677	8.63480646	21.58938799	30.900526
GH102	485.0077633	561.1911416	454.701978	348.5901293	307.772727	295.818001	620.9923191	522.7455811	442.0643686	551.5576875	575.5729723	515.419335	1191.818958	1171.097321	1128.134254
GH103	1234.848126	1553.539746	1567.31015	1253.442387	1042.066093	1016.243522	1013.355245	1249.288315	1311.656046	969.7165715	1079.962565	1341.049623	1461.690701	1298.283835	1094.213644
GH104	234.2232074	150.038925	131.6118124	150.6787878	232.3493541	164.8264435	160.3571456	133.1333028	79.07049846	230.3882855	197.2757536	98.43544922	351.8099292	218.9218239	123.2822012
GH105	1866.312884	1436.062818	1750.98489	2561.39333	2535.832079	2266.151527	744.4253917	757.5562588	864.7831398	988.7073161	988.0822386	881.3491794	321.8636951	394.8405105	184.6684671
GH106	2086.854046	1621.656784	1950.452011	3485.028478	3290.243047	2699.667115	721.7478201	793.1642117	888.2634834	1369.723221	1586.209882	978.5895905	107.2253141	271.8203237	83.20880832
GH-R	4937.706793	4039.79511	4615.660049	6602.811154	6584.198343	5483.351174	2647.401678	2440.091748	2815.298961	3469.678626	3930.424607	2782.461031	508.521121	987.336855	695.5495803
GH108	344.1871005	413.7355333	370.0267004	221.2920468	202.7559472	210.5675368	260.5853969	302.8050749	239.5253259	141.0420297	139.2640998	172.8579269	70.64946188	83.74371358	86.26718578
GH109	884.3748092	883.5432313	1062.310834	964.1870666	1064.012764	949.8742855	593.8975028	648.4775499	666.289432	564.1327296	638.37213	556.190257	77.07366188	110.2467213	47.07278601
GH-C	124.8367852	153.6802805	147.1694483	116.0101962	149.3956703	116.9214839	168.875236	143.6495204	148.5873878	169.392697	110.5321597	65.25591035	32.83189482	118.7569836	77.20417435
GH110	648.089243	461.4203529	604.7937012	703.9394212	741.4014856	908.6647914	155.821433	223.369597	375.2668857	461.9056366	578.1305832	559.9902234	15.78601687	19.0413071	2.773124128
GH112	4.167273263	3.72263563	0	6.342131586	11.57352039	11.5843471	120.0226025	105.4417265	49.39786433	11.48724486	7.205834934	0	49.82764429	56.03627957	34.78961413
GH114	57.1841068	21.99966343	47.62447787	36.53100361	38.72058627	19.4394847	49.86246553	26.61816159	10.22282429	22.36784835	50.2921604	6.943221766	23.53961058	14.653112	29.58155707
GH115	128.6080456	189.9163648	265.4916326	256.8400189	219.4732561	220.2397734	15.73583708	0	35.24417096	19.98242141	13.12251306	12.95726015	11.79449306	5.337089535	0
GH-O	478.3568008	419.6003829	441.9785372	695.0064717	637.4869851	570.1269658	183.1530034	259.7571396	257.7021823	485.0028036	544.1501114	508.9368275	70.57574039	100.3480263	35.98953672
GH117	1429.122223	1225.355054	1451.592514	1704.30386	1700.600728	1678.242512	614.8482365	601.660128	953.4919166	995.6030747	1121.312685	777.9357577	92.81845361	252.8443824	97.41286275
GH119	0	8.378286566	1.820754617	18.32871696	14.82797333	38.73494226	0	8.01254316	0	0	0	2.627928703	56.3059847	17.12917249	13.15595671
GH120	245.6785702	212.5454899	220.1548527	348.5618174	325.4345795	302.478176	154.1690795	71.70795941	77.37195493	122.5171584	193.5062181	184.9880905	3.855582327	47.47973052	33.31667706
GH121	17.68648794	12.13947767	6.398526779	18.31538253	9.395709672	27.94902558	9.562472434	13.6176172	2.358114277	47.26120046	35.93562553	19.03258745	56.09447304	5.509354292	13.20330069
GH123	62.96064347	65.08013088	103.1828418	57.63233689	47.27025838	68.10308166	2.718281604	12.7529184	30.09138332	5.325873943	12.24143589	30.83645395	0	15.86514229	39.89621674
GH-P	941.3752283	753.9893109	893.8303694	1434.833987	1322.606554	1109.787469	559.0681882	522.0504424	640.8354053	793.9791955	798.9805492	588.9225761	39.29754834	103.6209636	272.8911093
GH129	33.09121409	34.52224084	34.08580482	114.9406248	139.8024705	75.80251446	7.687640161	18.52900606	20.16802079	41.00940031	23.63833162	22.41264994	7.319347663	11.88336342	0
GH-H	18456.45949	19983.5554	18295.60074	19258.33643	21209.14156	21108.19823	9859.828724	10998.70914	10521.71837	11453.33228	10994.49608	11562.64517	7739.060429	7222.534345	5765.323889
GH130	3464.184336	3646.961149	3022.570256	3318.839619	3674.151653	3575.599304	1781.142249	1610.605054	1479.914457	1562.492935	1710.234754	1113.390985	2526.541405	2477.367666	2807.236782
GH133	974.7141871	1003.613431	853.4208936	930.6796325	882.3290368	777.170692	1087.464056	900.5215479	704.250008	715.1353923	699.3248135	339.5399137	2280.74291	1931.582473	1625.212841
GH-L	4659.758365	5019.645888	4790.234219	3907.961354	4477.72309	4722.715182	1760.942276	1586.272419	1748.527701	2127.358272	1972.281364	1962.495427	1649.841373	1418.669042	1195.430461
GH-B	6733.069954	7374.565582	6215.343906	6917.627796	7034.741137	7630.411428	3066.045156	3885.436167	4261.636467	4524.683671	4491.599574	4994.237119	1658.779547	1631.786601	1504.00513
GH-K	4811.092917	4586.915457	5071.750507	5407.794607	5784.986565	5759.28399	3173.910415	2914.915868	3123.307218	3691.774019	3953.035175	4008.741511	1799.490345	1606.469513	1396.85381
GH19	493.9565339	446.8689951	570.3548717	300.9999476	387.6422726	378.1772315	699.6031452	610.242051	894.5782722	826.2409971	1277.822557	701.289615	332.1185436	1120.783837	791.7987941
GH22	4.607330418	4.846993316	0	2.483162632	13.10933606	1.152048202	13.29753974	3.137186211	20.37477503	49.73425235	24.92190342	24.80954433	2.27397209	4.922558309	35.27966038
GH23	10267.27432	11951.8488	10689.24566	10333.1435	10198.99864	9691.225971	8832.348155	9793.328391	8506.745527	8283.179133	8404.612328	9377.588641	11378.96603	10230.44469	9721.207573
GH-I	491.4002614	278.6365281	421.1882975	386.0052858	537.9827752	463.5998793	1075.488991	680.5120267	714.1850718	1574.447919	2283.239951	1359.089598	662.4140027	1217.789526	537.1211274
GH25	237.8282232	204.7968606	142.4780885	148.0666317	171.0068588	150.6329415	314.2134025	286.0043124	106.5596826	279.0257326	316.1954376	351.5794034	138.6896562	98.2596588	198.4318548
GH-D	4926.733724	4516.276369	4496.097676	5237.706118	5385.999889	5000.723712	2553.500147	3029.352961	3129.742481	3480.917737	3503.934723	3386.291118	1586.003602	1327.188794	1146.068557
GH-N	3897.258422	3900.491769	3968.874617	4291.347043	4083.477382	3987.325812	2499.650684	2774.453384	2761.2412	3717.077346	3129.033732	3555.468812	2167.388009	1931.288372	1920.82717
